model,class,reversibility,noise,interaction,size,shelf_width,plateau,sigma_crit,passes,failure_mode,cond_reversible,cond_nonintegrable,cond_weakly_perturbed
Floquet Ising,quantum,1.00,0.00,0.50,12,1.8228,1.0000,0.40,1,none,1,0,1
Floquet Ising,quantum,1.00,0.00,0.50,12,1.8228,1.0000,0.40,1,none,1,0,1
Floquet Ising,quantum,1.00,0.00,0.50,12,1.7848,1.0000,0.40,1,none,1,0,1
Floquet Ising,quantum,0.80,0.00,0.50,12,0.0759,0.8424,0.20,0,resolution_limited,1,0,1
Floquet Ising,quantum,0.80,0.00,0.50,12,0.1899,0.8406,0.20,0,resolution_limited,1,0,1
Floquet Ising,quantum,0.80,0.00,0.50,12,0.1139,0.8382,0.20,0,resolution_limited,1,0,1
Floquet Ising,quantum,0.50,0.00,0.50,12,0.0000,0.3848,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.50,0.00,0.50,12,0.0000,0.3930,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.50,0.00,0.50,12,0.0000,0.3914,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.20,0.00,0.50,12,0.0000,0.3848,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.20,0.00,0.50,12,0.0000,0.3930,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.20,0.00,0.50,12,0.0000,0.3914,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.00,0.00,0.50,12,0.0000,0.3848,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.00,0.00,0.50,12,0.0000,0.3930,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.00,0.00,0.50,12,0.0000,0.3914,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,1.00,0.30,0.50,12,0.0000,0.7498,0.00,0,irreversibility_dominated,1,0,1
Floquet Ising,quantum,1.00,0.30,0.50,12,0.0000,0.7546,0.00,0,irreversibility_dominated,1,0,1
Floquet Ising,quantum,1.00,0.30,0.50,12,0.0000,0.7461,0.00,0,irreversibility_dominated,1,0,1
Floquet Ising,quantum,1.00,0.60,0.50,12,0.0000,0.2928,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,0.60,0.50,12,0.0000,0.2978,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,0.60,0.50,12,0.0000,0.2891,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,1.00,0.50,12,0.0000,0.0637,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,1.00,0.50,12,0.0000,0.0688,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,1.00,0.50,12,0.0000,0.0686,0.00,0,irreversibility_dominated,1,1,0
Floquet XXZ,quantum,1.00,0.00,0.50,12,2.1266,0.9829,0.40,1,none,1,0,1
Floquet XXZ,quantum,1.00,0.00,0.50,12,2.0506,0.9891,0.40,1,none,1,0,1
Floquet XXZ,quantum,1.00,0.00,0.50,12,2.0886,0.9784,0.40,1,none,1,0,1
Floquet XXZ,quantum,0.80,0.00,0.50,12,0.0000,0.7969,1.20,0,irreversibility_dominated,1,0,1
Floquet XXZ,quantum,0.80,0.00,0.50,12,0.0000,0.8007,1.20,0,irreversibility_dominated,1,0,1
Floquet XXZ,quantum,0.80,0.00,0.50,12,0.0000,0.7921,1.20,0,irreversibility_dominated,1,0,1
Floquet XXZ,quantum,0.50,0.00,0.50,12,0.0000,0.2988,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.50,0.00,0.50,12,0.0000,0.3168,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.50,0.00,0.50,12,0.0000,0.3109,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.20,0.00,0.50,12,0.0000,0.2988,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.20,0.00,0.50,12,0.0000,0.3168,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.20,0.00,0.50,12,0.0000,0.3109,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.00,0.00,0.50,12,0.0000,0.2988,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.00,0.00,0.50,12,0.0000,0.3168,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.00,0.00,0.50,12,0.0000,0.3109,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,1.00,0.30,0.50,12,0.9114,0.8863,0.00,1,none,1,0,1
Floquet XXZ,quantum,1.00,0.30,0.50,12,0.6456,0.8925,0.00,1,none,1,0,1
Floquet XXZ,quantum,1.00,0.30,0.50,12,0.7595,0.8817,0.00,1,none,1,0,1
Floquet XXZ,quantum,1.00,0.60,0.50,12,0.0000,0.6525,0.00,0,irreversibility_dominated,1,1,0
Floquet XXZ,quantum,1.00,0.60,0.50,12,0.0000,0.6588,0.00,0,irreversibility_dominated,1,1,0
Floquet XXZ,quantum,1.00,0.60,0.50,12,0.0000,0.6479,0.00,0,irreversibility_dominated,1,1,0
Floquet XXZ,quantum,1.00,1.00,0.50,12,0.0000,0.3276,0.00,0,irreversibility_dominated,1,1,0
Floquet XXZ,quantum,1.00,1.00,0.50,12,0.0000,0.3340,0.00,0,irreversibility_dominated,1,1,0
Floquet XXZ,quantum,1.00,1.00,0.50,12,0.0000,0.3231,0.00,0,irreversibility_dominated,1,1,0
Kicked Rotor,quantum,1.00,0.00,0.50,12,0.4772,0.8853,0.40,1,none,1,1,1
Kicked Rotor,quantum,1.00,0.00,0.50,12,0.3181,0.9103,0.60,1,none,1,1,1
Kicked Rotor,quantum,1.00,0.00,0.50,12,0.4772,0.8998,0.40,1,none,1,1,1
Kicked Rotor,quantum,0.80,0.00,0.50,12,0.0000,0.7053,1.20,0,irreversibility_dominated,1,1,1
Kicked Rotor,quantum,0.80,0.00,0.50,12,0.0000,0.7303,1.20,0,irreversibility_dominated,1,1,1
Kicked Rotor,quantum,0.80,0.00,0.50,12,0.0000,0.7198,1.20,0,irreversibility_dominated,1,1,1
Kicked Rotor,quantum,0.50,0.00,0.50,12,0.0000,0.2738,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,0.50,0.00,0.50,12,0.0000,0.2982,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,0.50,0.00,0.50,12,0.0000,0.2897,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,0.20,0.00,0.50,12,0.0000,0.2738,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,0.20,0.00,0.50,12,0.0000,0.2982,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,0.20,0.00,0.50,12,0.0000,0.2897,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,0.00,0.00,0.50,12,0.0000,0.2738,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,0.00,0.00,0.50,12,0.0000,0.2982,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,0.00,0.00,0.50,12,0.0000,0.2897,1.20,0,irreversibility_dominated,0,1,1
Kicked Rotor,quantum,1.00,0.30,0.50,12,0.1591,0.8464,0.00,0,resolution_limited,1,1,1
Kicked Rotor,quantum,1.00,0.30,0.50,12,0.3181,0.8714,0.00,1,none,1,1,1
Kicked Rotor,quantum,1.00,0.30,0.50,12,0.3181,0.8609,0.00,1,none,1,1,1
Kicked Rotor,quantum,1.00,0.60,0.50,12,0.0000,0.7395,0.00,0,irreversibility_dominated,1,1,0
Kicked Rotor,quantum,1.00,0.60,0.50,12,0.0000,0.7645,0.00,0,irreversibility_dominated,1,1,0
Kicked Rotor,quantum,1.00,0.60,0.50,12,0.0000,0.7540,0.00,0,irreversibility_dominated,1,1,0
Kicked Rotor,quantum,1.00,1.00,0.50,12,0.0000,0.5371,0.00,0,irreversibility_dominated,1,1,0
Kicked Rotor,quantum,1.00,1.00,0.50,12,0.0000,0.5621,0.00,0,irreversibility_dominated,1,1,0
Kicked Rotor,quantum,1.00,1.00,0.50,12,0.0000,0.5516,0.00,0,irreversibility_dominated,1,1,0
Circle Map,classical,1.00,0.00,0.50,12,1.0000,0.9924,0.40,1,none,1,1,1
Circle Map,classical,1.00,0.00,0.50,12,1.0000,0.9975,0.40,1,none,1,1,1
Circle Map,classical,1.00,0.00,0.50,12,1.0000,1.0000,0.40,1,none,1,1,1
Circle Map,classical,0.80,0.00,0.50,12,0.0000,0.8024,1.20,0,irreversibility_dominated,1,1,1
Circle Map,classical,0.80,0.00,0.50,12,0.0000,0.8075,1.20,0,irreversibility_dominated,1,1,1
Circle Map,classical,0.80,0.00,0.50,12,0.0000,0.8265,1.20,0,irreversibility_dominated,1,1,1
Circle Map,classical,0.50,0.00,0.50,12,0.0000,0.2838,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,0.50,0.00,0.50,12,0.0000,0.2955,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,0.50,0.00,0.50,12,0.0000,0.2921,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,0.20,0.00,0.50,12,0.0000,0.2838,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,0.20,0.00,0.50,12,0.0000,0.2955,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,0.20,0.00,0.50,12,0.0000,0.2921,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,0.00,0.00,0.50,12,0.0000,0.2838,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,0.00,0.00,0.50,12,0.0000,0.2955,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,0.00,0.00,0.50,12,0.0000,0.2921,1.20,0,irreversibility_dominated,0,1,1
Circle Map,classical,1.00,0.30,0.50,12,1.0000,0.9106,0.00,1,none,1,1,1
Circle Map,classical,1.00,0.30,0.50,12,1.0000,0.9157,0.00,1,none,1,1,1
Circle Map,classical,1.00,0.30,0.50,12,1.0000,0.9347,0.00,1,none,1,1,1
Circle Map,classical,1.00,0.60,0.50,12,0.0000,0.7051,0.00,0,irreversibility_dominated,1,1,0
Circle Map,classical,1.00,0.60,0.50,12,0.0000,0.7103,0.00,0,irreversibility_dominated,1,1,0
Circle Map,classical,1.00,0.60,0.50,12,0.0000,0.7293,0.00,0,irreversibility_dominated,1,1,0
Circle Map,classical,1.00,1.00,0.50,12,0.0000,0.3918,0.00,0,irreversibility_dominated,1,1,0
Circle Map,classical,1.00,1.00,0.50,12,0.0000,0.3970,0.00,0,irreversibility_dominated,1,1,0
Circle Map,classical,1.00,1.00,0.50,12,0.0000,0.4159,0.00,0,irreversibility_dominated,1,1,0
Standard Map,classical,1.00,0.00,0.50,12,0.2785,0.9171,0.40,1,none,1,1,1
Standard Map,classical,1.00,0.00,0.50,12,0.2785,0.9236,0.20,1,none,1,1,1
Standard Map,classical,1.00,0.00,0.50,12,0.1266,0.9612,0.40,0,resolution_limited,1,1,1
Standard Map,classical,0.80,0.00,0.50,12,0.0000,0.7386,1.20,0,irreversibility_dominated,1,1,1
Standard Map,classical,0.80,0.00,0.50,12,0.0000,0.7497,1.20,0,irreversibility_dominated,1,1,1
Standard Map,classical,0.80,0.00,0.50,12,0.0000,0.7812,1.20,0,irreversibility_dominated,1,1,1
Standard Map,classical,0.50,0.00,0.50,12,0.0000,0.3748,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,0.50,0.00,0.50,12,0.0000,0.3957,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,0.50,0.00,0.50,12,0.0000,0.3889,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,0.20,0.00,0.50,12,0.0000,0.3748,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,0.20,0.00,0.50,12,0.0000,0.3957,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,0.20,0.00,0.50,12,0.0000,0.3889,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,0.00,0.00,0.50,12,0.0000,0.3748,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,0.00,0.00,0.50,12,0.0000,0.3957,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,0.00,0.00,0.50,12,0.0000,0.3889,1.20,0,irreversibility_dominated,0,1,1
Standard Map,classical,1.00,0.30,0.50,12,0.1266,0.8778,0.00,0,resolution_limited,1,1,1
Standard Map,classical,1.00,0.30,0.50,12,0.1013,0.8853,0.00,0,resolution_limited,1,1,1
Standard Map,classical,1.00,0.30,0.50,12,0.0759,0.9216,0.00,0,resolution_limited,1,1,1
Standard Map,classical,1.00,0.60,0.50,12,0.0000,0.7700,0.00,0,irreversibility_dominated,1,1,0
Standard Map,classical,1.00,0.60,0.50,12,0.0000,0.7804,0.00,0,irreversibility_dominated,1,1,0
Standard Map,classical,1.00,0.60,0.50,12,0.0000,0.8130,0.00,0,irreversibility_dominated,1,1,0
Standard Map,classical,1.00,1.00,0.50,12,0.0000,0.5659,0.00,0,irreversibility_dominated,1,1,0
Standard Map,classical,1.00,1.00,0.50,12,0.0000,0.5814,0.00,0,irreversibility_dominated,1,1,0
Standard Map,classical,1.00,1.00,0.50,12,0.0000,0.6071,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,0.00,0.50,12,0.1392,0.9624,0.60,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,1.00,0.00,0.50,12,0.1392,0.9611,0.60,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,1.00,0.00,0.50,12,0.1392,0.9608,0.60,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,0.80,0.00,0.50,12,0.0000,0.7784,1.20,0,irreversibility_dominated,1,1,1
GL(2,R) Trace,abstract,0.80,0.00,0.50,12,0.0000,0.7771,1.20,0,irreversibility_dominated,1,1,1
GL(2,R) Trace,abstract,0.80,0.00,0.50,12,0.0000,0.7768,1.20,0,irreversibility_dominated,1,1,1
GL(2,R) Trace,abstract,0.50,0.00,0.50,12,0.0000,0.2838,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.50,0.00,0.50,12,0.0000,0.2955,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.50,0.00,0.50,12,0.0000,0.2921,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.20,0.00,0.50,12,0.0000,0.2838,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.20,0.00,0.50,12,0.0000,0.2955,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.20,0.00,0.50,12,0.0000,0.2921,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.00,0.00,0.50,12,0.0000,0.2838,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.00,0.00,0.50,12,0.0000,0.2955,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.00,0.00,0.50,12,0.0000,0.2921,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,1.00,0.30,0.50,12,0.1392,0.9219,0.00,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,1.00,0.30,0.50,12,0.1392,0.9207,0.00,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,1.00,0.30,0.50,12,0.1392,0.9203,0.00,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,1.00,0.60,0.50,12,0.0000,0.8108,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,0.60,0.50,12,0.0000,0.8096,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,0.60,0.50,12,0.0000,0.8093,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,1.00,0.50,12,0.0000,0.6004,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,1.00,0.50,12,0.0000,0.5991,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,1.00,0.50,12,0.0000,0.5988,0.00,0,irreversibility_dominated,1,1,0